Date,Adjusted Price/cents
2005-01-03,0.2004
2005-01-04,0.1997
2005-01-05,0.2007
2005-01-06,0.2017
2005-01-07,0.2041
2005-01-10,0.2027
2005-01-11,0.1997
2005-01-12,0.1969
2005-01-13,0.2008
2005-01-14,0.1963
2005-01-18,0.1944
2005-01-19,0.1961
2005-01-20,0.1956
2005-01-21,0.1958
2005-01-24,0.1974
2005-01-25,0.1971
2005-01-26,0.1952
2005-01-27,0.1943
2005-01-28,0.1924
2005-01-31,0.1936
2005-02-01,0.1904
2005-02-02,0.1894
2005-02-03,0.1886
2005-02-04,0.1904
2005-02-07,0.19
2005-02-08,0.1917
2005-02-09,0.1915
2005-02-10,0.1919
2005-02-11,0.2001
2005-02-14,0.1997
2005-02-15,0.1962
2005-02-16,0.1956
2005-02-17,0.1982
2005-02-18,0.2007
2005-02-22,0.2175
2005-02-23,0.2173
2005-02-24,0.2133
2005-02-25,0.2254
2005-02-28,0.2322
2005-03-01,0.2291
2005-03-02,0.2311
2005-03-03,0.2297
2005-03-04,0.233
2005-03-07,0.2297
2005-03-08,0.2343
2005-03-09,0.2364
2005-03-10,0.2366
2005-03-11,0.2404
2005-03-14,0.2368
2005-03-15,0.2423
2005-03-16,0.2415
2005-03-17,0.2434
2005-03-18,0.2358
2005-03-21,0.2255
2005-03-22,0.2258
2005-03-23,0.2261
2005-03-24,0.2295
2005-03-28,0.2279
2005-03-29,0.2287
2005-03-30,0.2348
2005-03-31,0.229
2005-04-01,0.2268
2005-04-04,0.228
2005-04-05,0.2282
2005-04-06,0.2286
2005-04-07,0.2268
2005-04-08,0.2227
2005-04-11,0.224
2005-04-12,0.2256
2005-04-13,0.2255
2005-04-14,0.2242
2005-04-15,0.2264
2005-04-18,0.2227
2005-04-19,0.2283
2005-04-20,0.2266
2005-04-21,0.2295
2005-04-22,0.2281
2005-04-25,0.2279
2005-04-26,0.2264
2005-04-27,0.2251
2005-04-28,0.2223
2005-04-29,0.2259
2005-05-02,0.2254
2005-05-03,0.2262
2005-05-04,0.2278
2005-05-05,0.2277
2005-05-06,0.2331
2005-05-09,0.2356
2005-05-10,0.2326
2005-05-11,0.2306
2005-05-12,0.2277
2005-05-13,0.2222
2005-05-16,0.2216
2005-05-17,0.2202
2005-05-18,0.2226
2005-05-19,0.2204
2005-05-20,0.2231
2005-05-23,0.2268
2005-05-24,0.2287
2005-05-25,0.2325
2005-05-26,0.2378
2005-05-27,0.2326
2005-05-31,0.2315
2005-06-01,0.235
2005-06-02,0.2293
2005-06-03,0.2295
2005-06-06,0.2316
2005-06-07,0.2306
2005-06-08,0.2298
2005-06-09,0.2313
2005-06-10,0.2274
2005-06-13,0.2301
2005-06-14,0.2325
2005-06-15,0.2417
2005-06-16,0.241
2005-06-17,0.2508
2005-06-20,0.2558
2005-06-21,0.2544
2005-06-22,0.2532
2005-06-23,0.2524
2005-06-24,0.2615
2005-06-27,0.2452
2005-06-28,0.2417
2005-06-29,0.2454
2005-06-30,0.2361
2005-07-01,0.2423
2005-07-05,0.2539
2005-07-06,0.2509
2005-07-07,0.2519
2005-07-08,0.2463
2005-07-11,0.2484
2005-07-12,0.2504
2005-07-13,0.2543
2005-07-14,0.255
2005-07-15,0.2548
2005-07-18,0.2554
2005-07-19,0.2446
2005-07-20,0.2473
2005-07-21,0.2431
2005-07-22,0.2451
2005-07-25,0.2459
2005-07-26,0.2443
2005-07-27,0.2431
2005-07-28,0.245
2005-07-29,0.2431
2005-08-01,0.2419
2005-08-02,0.2509
2005-08-03,0.244
2005-08-04,0.2421
2005-08-05,0.2369
2005-08-08,0.2349
2005-08-09,0.2289
2005-08-10,0.2277
2005-08-11,0.2268
2005-08-12,0.2273
2005-08-15,0.223
2005-08-16,0.2229
2005-08-17,0.226
