,Year,Date,Price/cents,Adjusted Price/cents,,Year,CPI
195.3,2005,1/3/2005,0.2004,0.2004,,2005,195.3
195.3,2005,1/4/2005,0.1997,0.1997,,2006,198.3
195.3,2005,1/5/2005,0.2007,0.2007,,2007,207.3
195.3,2005,1/6/2005,0.2017,0.2017,,2008,215.3
195.3,2005,1/7/2005,0.2041,0.2041,,2009,214.5
195.3,2005,1/10/2005,0.2027,0.2027,,2010,218.1
195.3,2005,1/11/2005,0.1997,0.1997,,2011,224.9
195.3,2005,1/12/2005,0.1969,0.1969,,2012,229.6
195.3,2005,1/13/2005,0.2008,0.2008,,2013,233
195.3,2005,1/14/2005,0.1963,0.1963,,2014,236.7
195.3,2005,1/18/2005,0.1944,0.1944,,2015,237
195.3,2005,1/19/2005,0.1961,0.1961,,2016,240
195.3,2005,1/20/2005,0.1956,0.1956,,2017,245.1
195.3,2005,1/21/2005,0.1958,0.1958,,2018,251.1
195.3,2005,1/24/2005,0.1974,0.1974,,2019,255.7
195.3,2005,1/25/2005,0.1971,0.1971,,2020,258.8
195.3,2005,1/26/2005,0.1952,0.1952,,2021,271
195.3,2005,1/27/2005,0.1943,0.1943,,2022,292.7
195.3,2005,1/28/2005,0.1924,0.1924,,2023,304.7
195.3,2005,1/31/2005,0.1936,0.1936,,2024,312.3
195.3,2005,2/1/2005,0.1904,0.1904,,,
195.3,2005,2/2/2005,0.1894,0.1894,,,
195.3,2005,2/3/2005,0.1886,0.1886,,,
195.3,2005,2/4/2005,0.1904,0.1904,,,
195.3,2005,2/7/2005,0.19,0.19,,,
195.3,2005,2/8/2005,0.1917,0.1917,,,
195.3,2005,2/9/2005,0.1915,0.1915,,,
195.3,2005,2/10/2005,0.1919,0.1919,,,
195.3,2005,2/11/2005,0.2001,0.2001,,,
195.3,2005,2/14/2005,0.1997,0.1997,,,
195.3,2005,2/15/2005,0.1962,0.1962,,,
195.3,2005,2/16/2005,0.1956,0.1956,,,
195.3,2005,2/17/2005,0.1982,0.1982,,,
195.3,2005,2/18/2005,0.2007,0.2007,,,
195.3,2005,2/22/2005,0.2175,0.2175,,,
195.3,2005,2/23/2005,0.2173,0.2173,,,
195.3,2005,2/24/2005,0.2133,0.2133,,,
195.3,2005,2/25/2005,0.2254,0.2254,,,
195.3,2005,2/28/2005,0.2322,0.2322,,,
195.3,2005,3/1/2005,0.2291,0.2291,,,
195.3,2005,3/2/2005,0.2311,0.2311,,,
195.3,2005,3/3/2005,0.2297,0.2297,,,
195.3,2005,3/4/2005,0.233,0.233,,,
195.3,2005,3/7/2005,0.2297,0.2297,,,
195.3,2005,3/8/2005,0.2343,0.2343,,,
195.3,2005,3/9/2005,0.2364,0.2364,,,
195.3,2005,3/10/2005,0.2366,0.2366,,,
195.3,2005,3/11/2005,0.2404,0.2404,,,
195.3,2005,3/14/2005,0.2368,0.2368,,,
195.3,2005,3/15/2005,0.2423,0.2423,,,
195.3,2005,3/16/2005,0.2415,0.2415,,,
195.3,2005,3/17/2005,0.2434,0.2434,,,
195.3,2005,3/18/2005,0.2358,0.2358,,,
195.3,2005,3/21/2005,0.2255,0.2255,,,
195.3,2005,3/22/2005,0.2258,0.2258,,,
195.3,2005,3/23/2005,0.2261,0.2261,,,
195.3,2005,3/24/2005,0.2295,0.2295,,,
195.3,2005,3/28/2005,0.2279,0.2279,,,
195.3,2005,3/29/2005,0.2287,0.2287,,,
195.3,2005,3/30/2005,0.2348,0.2348,,,
195.3,2005,3/31/2005,0.229,0.229,,,
195.3,2005,4/1/2005,0.2268,0.2268,,,
195.3,2005,4/4/2005,0.228,0.228,,,
195.3,2005,4/5/2005,0.2282,0.2282,,,
195.3,2005,4/6/2005,0.2286,0.2286,,,
195.3,2005,4/7/2005,0.2268,0.2268,,,
195.3,2005,4/8/2005,0.2227,0.2227,,,
195.3,2005,4/11/2005,0.224,0.224,,,
195.3,2005,4/12/2005,0.2256,0.2256,,,
195.3,2005,4/13/2005,0.2255,0.2255,,,
195.3,2005,4/14/2005,0.2242,0.2242,,,
195.3,2005,4/15/2005,0.2264,0.2264,,,
195.3,2005,4/18/2005,0.2227,0.2227,,,
195.3,2005,4/19/2005,0.2283,0.2283,,,
195.3,2005,4/20/2005,0.2266,0.2266,,,
195.3,2005,4/21/2005,0.2295,0.2295,,,
195.3,2005,4/22/2005,0.2281,0.2281,,,
195.3,2005,4/25/2005,0.2279,0.2279,,,
195.3,2005,4/26/2005,0.2264,0.2264,,,
195.3,2005,4/27/2005,0.2251,0.2251,,,
195.3,2005,4/28/2005,0.2223,0.2223,,,
195.3,2005,4/29/2005,0.2259,0.2259,,,
195.3,2005,5/2/2005,0.2254,0.2254,,,
195.3,2005,5/3/2005,0.2262,0.2262,,,
195.3,2005,5/4/2005,0.2278,0.2278,,,
195.3,2005,5/5/2005,0.2277,0.2277,,,
195.3,2005,5/6/2005,0.2331,0.2331,,,
195.3,2005,5/9/2005,0.2356,0.2356,,,
195.3,2005,5/10/2005,0.2326,0.2326,,,
195.3,2005,5/11/2005,0.2306,0.2306,,,
195.3,2005,5/12/2005,0.2277,0.2277,,,
195.3,2005,5/13/2005,0.2222,0.2222,,,
195.3,2005,5/16/2005,0.2216,0.2216,,,
195.3,2005,5/17/2005,0.2202,0.2202,,,
195.3,2005,5/18/2005,0.2226,0.2226,,,
195.3,2005,5/19/2005,0.2204,0.2204,,,
195.3,2005,5/20/2005,0.2231,0.2231,,,
195.3,2005,5/23/2005,0.2268,0.2268,,,
195.3,2005,5/24/2005,0.2287,0.2287,,,
195.3,2005,5/25/2005,0.2325,0.2325,,,
195.3,2005,5/26/2005,0.2378,0.2378,,,
195.3,2005,5/27/2005,0.2326,0.2326,,,
195.3,2005,5/31/2005,0.2315,0.2315,,,
195.3,2005,6/1/2005,0.235,0.235,,,
195.3,2005,6/2/2005,0.2293,0.2293,,,
195.3,2005,6/3/2005,0.2295,0.2295,,,
195.3,2005,6/6/2005,0.2316,0.2316,,,
195.3,2005,6/7/2005,0.2306,0.2306,,,
195.3,2005,6/8/2005,0.2298,0.2298,,,
195.3,2005,6/9/2005,0.2313,0.2313,,,
195.3,2005,6/10/2005,0.2274,0.2274,,,
195.3,2005,6/13/2005,0.2301,0.2301,,,
195.3,2005,6/14/2005,0.2325,0.2325,,,
195.3,2005,6/15/2005,0.2417,0.2417,,,
195.3,2005,6/16/2005,0.241,0.241,,,
195.3,2005,6/17/2005,0.2508,0.2508,,,
195.3,2005,6/20/2005,0.2558,0.2558,,,
195.3,2005,6/21/2005,0.2544,0.2544,,,
195.3,2005,6/22/2005,0.2532,0.2532,,,
195.3,2005,6/23/2005,0.2524,0.2524,,,
195.3,2005,6/24/2005,0.2615,0.2615,,,
195.3,2005,6/27/2005,0.2452,0.2452,,,
195.3,2005,6/28/2005,0.2417,0.2417,,,
195.3,2005,6/29/2005,0.2454,0.2454,,,
195.3,2005,6/30/2005,0.2361,0.2361,,,
195.3,2005,7/1/2005,0.2423,0.2423,,,
195.3,2005,7/5/2005,0.2539,0.2539,,,
195.3,2005,7/6/2005,0.2509,0.2509,,,
195.3,2005,7/7/2005,0.2519,0.2519,,,
195.3,2005,7/8/2005,0.2463,0.2463,,,
195.3,2005,7/11/2005,0.2484,0.2484,,,
195.3,2005,7/12/2005,0.2504,0.2504,,,
195.3,2005,7/13/2005,0.2543,0.2543,,,
195.3,2005,7/14/2005,0.255,0.255,,,
195.3,2005,7/15/2005,0.2548,0.2548,,,
195.3,2005,7/18/2005,0.2554,0.2554,,,
195.3,2005,7/19/2005,0.2446,0.2446,,,
195.3,2005,7/20/2005,0.2473,0.2473,,,
195.3,2005,7/21/2005,0.2431,0.2431,,,
195.3,2005,7/22/2005,0.2451,0.2451,,,
195.3,2005,7/25/2005,0.2459,0.2459,,,
195.3,2005,7/26/2005,0.2443,0.2443,,,
195.3,2005,7/27/2005,0.2431,0.2431,,,
195.3,2005,7/28/2005,0.245,0.245,,,
195.3,2005,7/29/2005,0.2431,0.2431,,,
195.3,2005,8/1/2005,0.2419,0.2419,,,
195.3,2005,8/2/2005,0.2509,0.2509,,,
195.3,2005,8/3/2005,0.244,0.244,,,
195.3,2005,8/4/2005,0.2421,0.2421,,,
195.3,2005,8/5/2005,0.2369,0.2369,,,
195.3,2005,8/8/2005,0.2349,0.2349,,,
195.3,2005,8/9/2005,0.2289,0.2289,,,
195.3,2005,8/10/2005,0.2277,0.2277,,,
195.3,2005,8/11/2005,0.2268,0.2268,,,
195.3,2005,8/12/2005,0.2273,0.2273,,,
195.3,2005,8/15/2005,0.223,0.223,,,
195.3,2005,8/16/2005,0.2229,0.2229,,,
195.3,2005,8/17/2005,0.226,0.226,,,
195.3,2005,8/18/2005,0.2251,0.2251,,,
195.3,2005,8/19/2005,0.2228,0.2228,,,
195.3,2005,8/22/2005,0.2243,0.2243,,,
195.3,2005,8/23/2005,0.2256,0.2256,,,
195.3,2005,8/24/2005,0.225,0.225,,,
195.3,2005,8/25/2005,0.2206,0.2206,,,
195.3,2005,8/26/2005,0.2208,0.2208,,,
195.3,2005,8/29/2005,0.2224,0.2224,,,
195.3,2005,8/30/2005,0.2286,0.2286,,,
195.3,2005,8/31/2005,0.2241,0.2241,,,
195.3,2005,9/1/2005,0.2299,0.2299,,,
195.3,2005,9/2/2005,0.2267,0.2267,,,
195.3,2005,9/6/2005,0.2298,0.2298,,,
195.3,2005,9/7/2005,0.2268,0.2268,,,
195.3,2005,9/8/2005,0.2245,0.2245,,,
195.3,2005,9/9/2005,0.2223,0.2223,,,
195.3,2005,9/12/2005,0.2214,0.2214,,,
195.3,2005,9/13/2005,0.2204,0.2204,,,
195.3,2005,9/14/2005,0.2217,0.2217,,,
195.3,2005,9/15/2005,0.2213,0.2213,,,
195.3,2005,9/16/2005,0.2196,0.2196,,,
195.3,2005,9/19/2005,0.2272,0.2272,,,
195.3,2005,9/20/2005,0.2245,0.2245,,,
195.3,2005,9/21/2005,0.2292,0.2292,,,
195.3,2005,9/22/2005,0.2332,0.2332,,,
195.3,2005,9/23/2005,0.2288,0.2288,,,
195.3,2005,9/26/2005,0.2267,0.2267,,,
195.3,2005,9/27/2005,0.2209,0.2209,,,
195.3,2005,9/28/2005,0.2242,0.2242,,,
195.3,2005,9/29/2005,0.2255,0.2255,,,
195.3,2005,9/30/2005,0.2372,0.2372,,,
195.3,2005,10/3/2005,0.2465,0.2465,,,
195.3,2005,10/4/2005,0.24,0.24,,,
195.3,2005,10/5/2005,0.2416,0.2416,,,
195.3,2005,10/6/2005,0.2404,0.2404,,,
195.3,2005,10/7/2005,0.2366,0.2366,,,
195.3,2005,10/10/2005,0.2326,0.2326,,,
195.3,2005,10/11/2005,0.2358,0.2358,,,
195.3,2005,10/12/2005,0.2419,0.2419,,,
195.3,2005,10/13/2005,0.2389,0.2389,,,
195.3,2005,10/14/2005,0.2403,0.2403,,,
195.3,2005,10/17/2005,0.2439,0.2439,,,
195.3,2005,10/18/2005,0.2444,0.2444,,,
195.3,2005,10/19/2005,0.2431,0.2431,,,
